Date,Open,High,Low,Close,Adj Close,Volume
2023-11-24,185.47000122070312,185.75,185.16000366210938,185.52000427246094,185.52000427246094,2445100
2023-11-27,186.55999755859375,186.8000030517578,185.92999267578125,186.77000427246094,186.77000427246094,6320400
2023-11-28,187.89999389648438,189.39999389648438,187.52000427246094,189.25999450683594,189.25999450683594,10901900
2023-11-29,189.16000366210938,189.99000549316406,189.02000427246094,189.5399932861328,189.5399932861328,8407300
2023-11-30,188.88999938964844,189.24000549316406,188.27999877929688,188.75,188.75,7558100
2023-12-01,188.80999755859375,192.39999389648438,188.69000244140625,192.00999450683594,192.00999450683594,16724900
2023-12-04,189.60000610351562,190.3800048828125,187.25999450683594,187.86000061035156,187.86000061035156,18460500
2023-12-05,187.5500030517578,187.8800048828125,186.3000030517578,187.14999389648438,187.14999389648438,7027700
2023-12-06,188.32000732421875,188.4600067138672,187.5,187.83999633789062,187.83999633789062,5778600
2023-12-07,188.4499969482422,188.58999633789062,187.25999450683594,188.14999389648438,188.14999389648438,5802000
2023-12-08,185.92999267578125,186.77999877929688,184.89999389648438,185.63999938964844,185.63999938964844,7880300
2023-12-11,184.5,184.52999877929688,183.14999389648438,183.58999633789062,183.58999633789062,8519500
2023-12-12,183.83999633789062,183.97999572753906,183.25999450683594,183.49000549316406,183.49000549316406,5056900
2023-12-13,183.82000732421875,187.66000366210938,183.3800048828125,187.6300048828125,187.6300048828125,10635500
2023-12-14,188.86000061035156,189.82000732421875,188.0800018310547,188.72999572753906,188.72999572753906,9107200
2023-12-15,188.52000427246094,188.9600067138672,186.82000732421875,187.0,187.0,8323800
2023-12-18,187.5,188.49000549316406,187.24000549316406,187.85000610351562,187.85000610351562,5358000
2023-12-19,188.22999572753906,189.72000122070312,188.1300048828125,189.1300048828125,189.1300048828125,6025600
2023-12-20,188.69000244140625,188.9600067138672,188.08999633789062,188.10000610351562,188.10000610351562,6002400
2023-12-21,189.2100067138672,189.6199951171875,188.75,189.42999267578125,189.42999267578125,4620000
2023-12-22,191.60000610351562,191.8800048828125,190.07000732421875,190.27000427246094,190.27000427246094,7175400
2023-12-26,190.97000122070312,191.74000549316406,190.39999389648438,191.72000122070312,191.72000122070312,4502700
2023-12-27,191.77000427246094,193.17999267578125,191.5399932861328,192.58999633789062,192.58999633789062,5813300
2023-12-28,192.33999633789062,192.88999938964844,191.44000244140625,191.47000122070312,191.47000122070312,6171500
2023-12-29,190.99000549316406,191.63999938964844,190.74000549316406,191.1699981689453,191.1699981689453,4610300
