Annualized Volatility,1 Mo Return,Annualized Return,Beta (SPY),20SMA,50SMA,200SMA,Trend,Price,Technical Conditions,Weekly Performance,PCT From 20SMA,PCT From 50SMA,PCT From 200SMA,Relative Strength to SPY,Ticker
0.1222,2.7%,31.9%,1.0000,$587.19 (1.4%),$579.35 (2.8%),$542.10 (9.9%),7,$595.51,Strong Uptrend,0.98%,,,,,SPY
0.2792,22.2%,70.3%,1.0852,$125.91,$116.75,$100.85,8,$140.29,"Potential Breakout, Overbought, Strong Uptrend",9.35%,11.4%,20.2%,39.1%,1.20%,LYV
0.1617,11.1%,46.2%,0.2032,$35.91,$35.05,$30.47,8,$37.71,"Potential Breakout, Strong Uptrend",4.58%,5.0%,7.6%,23.8%,0.45%,NI
0.4385,32.4%,135.4%,2.8701,$33.69,$30.11,$25.45,8,$38.69,"Potential Breakout, Overbought, Strong Uptrend",8.99%,14.8%,28.5%,52.0%,3.24%,SKYU
0.0512,-0.2%,4.7%,0.2196,$45.68,$45.91,$45.29,5,$45.78,Normal Trading Range,0.31%,0.2%,-0.3%,1.1%,-0.85%,QHY
0.1570,1.3%,38.2%,1.1602,$21.69,$21.40,$19.88,7,$21.81,Strong Uptrend,1.39%,0.5%,1.9%,9.7%,0.20%,FCNTX
0.6400,47.9%,312.3%,2.3551,$54.86,$45.93,$30.52,8,$64.35,"Potential Breakout, Overbought, Strong Uptrend",5.47%,17.3%,40.1%,110.8%,8.79%,PLTR
0.2023,2.0%,38.2%,0.7444,$402.47,$403.20,$367.07,6,$420.00,Normal Trading Range,4.24%,4.4%,4.2%,14.4%,0.20%,HD
0.0224,-0.3%,3.6%,0.0313,$100.68,$100.93,$99.79,5,$100.81,Normal Trading Range,0.31%,0.1%,-0.1%,1.0%,-0.89%,STIP
0.1815,15.3%,68.0%,0.4502,$26.40,$24.56,$20.67,8,$28.49,"Potential Breakout, Strong Uptrend",6.90%,7.9%,16.0%,37.9%,1.13%,KMI
0.1893,18.2%,67.5%,0.5003,$55.44,$51.35,$43.19,8,$59.65,"Potential Breakout, Strong Uptrend",7.42%,7.6%,16.2%,38.1%,1.12%,WMB
0.3631,-5.2%,78.8%,1.5527,$573.33,$572.74,$513.48,5,$559.14,Strong Uptrend,-2.11%,-2.5%,-2.4%,8.9%,1.47%,META
0.0562,-1.7%,2.4%,0.0647,$72.75,$73.75,$72.83,2,$72.59,Normal Trading Range,0.35%,-0.2%,-1.6%,-0.3%,-0.92%,BND
0.2732,4.4%,38.8%,1.5017,$201.28,$193.00,$183.80,6,$197.12,Strong Uptrend,-4.66%,-2.1%,2.1%,7.2%,0.22%,AMZN
0.1751,16.4%,23.6%,0.5512,$158.36,$149.35,$140.74,7,$166.67,"Potential Breakout, Strong Uptrend",2.06%,5.2%,11.6%,18.4%,-0.26%,EA
0.1734,12.9%,76.4%,0.2623,$84.42,$82.11,$69.58,8,$90.44,"Potential Breakout, Strong Uptrend",6.99%,7.1%,10.1%,30.0%,1.39%,WMT
0.0536,-0.2%,9.0%,0.0306,$22.86,$23.00,$22.65,6,$23.00,Normal Trading Range,0.61%,0.6%,0.0%,1.6%,-0.72%,HYMU
0.2116,7.9%,36.9%,1.2518,$229.84,$224.12,$210.64,7,$238.77,Strong Uptrend,2.82%,3.9%,6.5%,13.4%,0.16%,IWM
0.5200,5.3%,104.3%,4.0027,$77.10,$73.98,$66.52,7,$78.25,Strong Uptrend,1.27%,1.5%,5.8%,17.6%,2.27%,TQQQ
0.2995,-19.7%,32.4%,0.8244,$800.80,$864.95,$835.83,2,$748.01,Potential Breakdown,-3.51%,-6.6%,-13.5%,-10.5%,0.02%,LLY
0.3458,-4.7%,61.1%,2.2382,$248.66,$247.61,$237.02,5,$244.62,Strong Uptrend,0.18%,-1.6%,-1.2%,3.2%,0.92%,SMH
0.1780,10.9%,31.8%,1.2053,$209.96,$202.60,$186.36,7,$218.10,Strong Uptrend,1.88%,3.9%,7.7%,17.0%,-0.00%,XLY
0.0510,0.4%,4.1%,0.0340,$51.67,$51.73,$50.53,6,$51.86,Normal Trading Range,0.23%,0.4%,0.3%,2.6%,-0.87%,IAGG
0.1441,3.6%,33.6%,0.5153,$462.46,$459.75,$429.39,7,$476.57,Strong Uptrend,2.11%,3.1%,3.7%,11.0%,0.05%,BRK-B
0.1111,3.4%,26.4%,0.7353,$431.97,$427.02,$402.21,7,$443.16,Strong Uptrend,1.68%,2.6%,3.8%,10.2%,-0.17%,DIA
0.2259,1.0%,24.4%,0.9814,$226.95,$227.73,$204.85,6,$229.87,Normal Trading Range,1.53%,1.3%,0.9%,12.2%,-0.24%,AAPL
0.0533,-0.5%,5.0%,0.0441,$52.18,$52.48,$52.05,5,$52.39,Normal Trading Range,0.44%,0.4%,-0.2%,0.7%,-0.84%,HYD
0.3647,-1.1%,7.3%,2.1514,$41.27,$42.23,$44.35,0,$40.75,Strong Downtrend,-1.52%,-1.3%,-3.5%,-8.1%,-0.77%,MSFU
0.0105,0.3%,1.3%,0.0320,$9.30,$9.29,$9.29,7,$9.32,Strong Uptrend,0.11%,0.2%,0.3%,0.3%,-0.96%,PRFRX
0.2104,2.8%,47.0%,1.5657,$99.60,$97.51,$90.74,7,$100.95,Strong Uptrend,1.07%,1.4%,3.5%,11.3%,0.47%,IGM
1.0105,-26.3%,108.6%,6.5563,$31.29,$33.83,$41.72,-1,$28.49,"Potential Breakdown, Strong Downtrend",1.71%,-8.9%,-15.8%,-31.7%,2.40%,SOXL
0.4856,-17.6%,27.0%,2.2857,$144.09,$153.67,$160.53,0,$138.35,Strong Downtrend,1.30%,-4.0%,-10.0%,-13.8%,-0.15%,AMD
0.6149,61.9%,80.0%,2.2832,$301.95,$264.06,$211.83,8,$352.56,"Potential Breakout, Overbought, Strong Uptrend",13.52%,16.8%,33.5%,66.4%,1.51%,TSLA
0.1454,4.0%,37.3%,0.9369,$74.30,$73.09,$68.04,7,$76.55,Strong Uptrend,2.66%,3.0%,4.7%,12.5%,0.17%,FIDU
0.2590,20.8%,71.8%,1.0427,$4882.12,$4482.89,$3897.32,8,$5177.15,"Potential Breakout, Strong Uptrend",4.17%,6.0%,15.5%,32.8%,1.25%,BKNG
0.1340,5.0%,36.3%,0.8695,$138.33,$135.80,$125.94,7,$142.39,Strong Uptrend,2.21%,2.9%,4.8%,13.1%,0.14%,IYJ
0.0204,-0.6%,0.8%,0.0188,$82.10,$82.51,$81.97,4,$82.01,Normal Trading Range,0.06%,-0.1%,-0.6%,0.1%,-0.98%,SHY
0.1494,1.8%,35.6%,0.3255,$247.07,$246.03,$222.74,7,$249.84,Strong Uptrend,5.16%,1.1%,1.5%,12.2%,0.11%,GLD
0.2125,2.6%,39.4%,1.5692,$157.17,$154.06,$143.60,7,$159.05,Strong Uptrend,1.01%,1.2%,3.2%,10.8%,0.23%,IYW
0.3628,6.5%,110.1%,2.9579,$172.56,$167.14,$143.58,8,$178.74,Strong Uptrend,2.63%,3.6%,6.9%,24.5%,2.45%,SPXL
0.1683,2.5%,33.3%,0.5247,$86.65,$87.29,$78.59,6,$87.76,Normal Trading Range,2.08%,1.3%,0.5%,11.7%,0.04%,REZ
0.3555,-0.4%,40.1%,1.1418,$38.06,$38.09,$33.64,4,$37.86,Normal Trading Range,7.98%,-0.5%,-0.6%,12.6%,0.26%,SGDJ
0.1722,7.7%,38.9%,0.8806,$163.86,$160.45,$146.54,7,$172.56,"Potential Breakout, Strong Uptrend",4.60%,5.3%,7.5%,17.8%,0.22%,XAR
0.1665,3.2%,30.5%,1.2241,$80.24,$78.79,$73.32,7,$81.63,Strong Uptrend,2.18%,1.7%,3.6%,11.3%,-0.05%,AGTHX
